ID,ra,dec,redshift,u,g,r,i,z,type,v_pec
1237661949737304564,230.47013361206595,8.811004424739641,0.038224887,-17.002893,-18.151968,-17.770731,-18.259153,-18.316729,4.872652053833008,1224.9412558048791
1237662198821093399,229.06231180186876,8.694392722216866,0.03462774,-18.609652,-20.916527,-20.214794,-21.25,-21.494537,-2.315894603729248,182.00359534324795
1237662238022697146,229.77458777443397,7.420261933303821,0.03448104,-16.579554,-18.78327,-18.133839,-19.089968,-19.322283,-2.102790355682373,139.47017794614945
1237662198821421292,229.84288687921895,8.563357451162661,0.034876626,-17.5186,-19.284077,-18.70755,-19.51446,-19.781057,1.7492892742156982,254.1642778401427
1237662198284943615,230.70732916179037,8.081672002433072,0.032764155,-18.525671,-20.269608,-19.702509,-20.527805,-20.79899,3.9277586936950684,-358.3143232659669
1237661949200564498,230.7045398412268,8.207157787963249,0.03687731,-16.771547,-18.7597,-18.117556,-19.042791,-19.267712,2.026860475540161,834.2319509941782
1237662264860213622,230.1551188978523,8.051616869897398,0.03382594,-16.612629,-18.929893,-18.215408,-19.259718,-19.500816,-2.321958541870117,-50.466030212264116
1237661950274699638,231.77697131463754,8.90133645176828,0.034498386,-16.877932,-19.150167,-18.450027,-19.475727,-19.713692,-2.0606226921081543,144.49938488664114
1237661949736780011,229.22920488791823,8.899017327926792,0.033136737,-17.233793,-18.507904,-18.140905,-18.499403,-18.791101,5.912040710449219,-250.28988072577843
1237661950274633879,231.57888686878886,8.955852553925853,0.035738885,-18.172716,-19.32072,-19.026049,-19.46631,-19.737251,5.775972366333008,504.1630641482869
1237661949200367637,230.22180934628764,8.396861198110024,0.03101516,-18.839293,-20.72538,-20.110823,-21.083519,-21.325043,-1.66439688205719,-865.4086270181051
1237662199357964418,229.10891172884914,9.128689811542861,0.033230457,-17.716434,-19.205793,-18.74244,-19.42384,-19.581778,4.806400775909424,-223.11720261769375
1237662264859820237,229.1749304478466,8.237687411407007,0.034000635,-16.84209,-18.988102,-18.331236,-19.353632,-19.49637,1.8211219310760498,0.18410852111184672
1237661949200367884,230.1911473921268,8.319636958557178,0.031372443,-16.821587,-17.784939,-17.488688,-17.942171,-17.93248,5.099109172821045,-761.8198951306642
1237661950274568466,231.3750841220152,8.935070968012736,0.03379263,-16.788841,-18.886114,-18.234533,-19.204592,-19.418404,-0.1408604383468628,-60.12375436698414
1237662238022697083,229.73035121473794,7.450726817897214,0.035733707,-16.436472,-18.666012,-17.937962,-18.992641,-19.240644,-2.0047717094421387,502.6617823808572
1237661949200498959,230.58976773368542,8.334508959286158,0.038120832,-15.488691,-18.070055,-17.421095,-18.393436,-18.597301,2.861258029937744,1194.7721027901887
1237661949200630043,230.88698474298374,8.179930114945092,0.034577124,-17.23165,-19.208479,-18.518381,-19.55895,-19.754011,-0.7426059246063232,167.32826163519485
1237662198821028115,229.03674707165112,8.758882090077156,0.035032276,-15.933688,-17.975168,-17.329515,-18.302652,-18.526104,-0.05573105812072754,299.29261061354697
1237662198284812610,230.41025792201333,8.144823091006899,0.03419419,-18.101646,-19.082523,-18.850365,-19.152687,-19.220509,5.566531181335449,56.30241529885789
1237661949200367892,230.22712847990454,8.443880651739267,0.035360646,-17.48323,-19.810604,-19.080336,-20.161427,-20.429234,-2.166659355163574,394.4984611294662
